"CLAVE SITIO","CLAVE DE MONITOREO","NOMBRE DEL SITIO","FECHA REALIZACIÓN","Año","DQO_ESTADO","TIPO CUERPO DE AGUA","COLI_FEC","COLI_TOT","E_COLI","N_NH3","N_NO2","N_TOTK","TOX_D_48_UT","P_TOT","ORTO_PO4","COLOR_VER","ABS_UV","CONDUC_CAMPO","pH_CAMPO","OD_mgL","SAAM","SST","CD_TOT","CR_TOT","HG_TOT","NI_TOT","CN_TOT","DUR_TOT","TEMP_AMB","TEMP_AGUA","CAUDAL","COT_NOM","TOX_NOM","TIPO_LOTICO","y"
"DLPUE2031","DLPUE2031-040813","RIO NEXAPA 10",41489,2013,"INCUMPLE","LÓTICO",2400,2400,2400,0.28,0.0692,5.936,0.5,1.091,0.699,30,0.1,678,7.92,3.5,0.44130121608685,560,0.0006505,0.025,0.00010065,0.012,0.0007595242489899,270,28,20.9,719.9,0,0,1,1
"DLPUE2002","DLPUE2002-310313","RIO NECAXA 4",41361,2013,"CUMPLE","LÓTICO",3,11,1.5,0.0372,0.039,0.6905,0.5,0.49,0.054,2.5,0.0045,206,7.66,8.1,0.161539715381395,5,0.0006505,6e-04,0.00010065,0.00319,0.0006332890966196,124,25.8,21.4,9381.8,0,0,1,0
"DLPUE2041","DLPUE2041-251112","NEXAPA ENTRADA A PUCTLA",41228,2012,"INCUMPLE","LÓTICO",2400,2400,460,2.48,0.421,6.04,0.5,4.673,14.3,2.5,0.0395,1110.25,8.08,2,1.38692268860742,78,0.012,6e-04,0.00010065,0.00021,0.0018985478352297,517.44,27,22,165,0,0,1,1
"DLPUE2025","DLPUE2025-160717","RIO NEXAPA 6",42929,2017,"INCUMPLE","LÓTICO",930,1500,750,1.242,0.041,1.454,0.5,0.381,0.299,60,0.104,284.3,7.2,5.16,0.005,532.69,0.0006505,0.0145,0.00010065,0.02265,5e-04,88,20,18,342.7,0,0,1,1
"DLPUE2025","DLPUE2025-211012","RIO NEXAPA 6",41218,2012,"CUMPLE","LÓTICO",2400,2400,1100,0.00175,0.0025,3.192,0.5,0.98,3.002,2.5,0.1706,243,7.7,6,1.67593674753207,69,0.0006505,6e-04,0.00010065,0.00021,0.0006775804928918,196,24,14.9,290.1,0,0,1,0
"DLPUE2021","DLPUE2021-040813","RIO NEXAPA 0",41488,2013,"INCUMPLE","LÓTICO",2400,2400,1100,0.606,0.0025,0.606,0.5,2.649,3.933,60,0.4,528,7.34,2.4,2.07658752706119,120,0.0006505,0.005,0.00010065,0.005,0.0008550395190355,145,21.4,18.8,5,1,0,1,1
"DLPUE2044","DLPUE2044-030917","RIO NEXAPA 16",42999,2017,"INCUMPLE","LÓTICO",1500,2100,750,5.944,0.652,7.043,0.5,2.185,1.092,40,0.184,1249,8.2,5.36,0.086,234.04,0.0006505,0.01778,0.00010065,0.0146,5e-04,504,26.1,22.9,3215.39178519853,0,0,1,1
"DLPUE2053","DLPUE2053-230815","ECHEVERRIA ANTES DE LA PLANTA DE TRATAMIENTO ATOYAC SUR",42235,2015,"INCUMPLE","LÓTICO",24000,24000,11000,7.497,0.0025,19.999,0.5,1.074,0.718,100,0.35,878,7.7,0.5,1.13,168,0.0006505,0.0115,0.00010065,0.0116,5e-04,252,25.6,22.7,11045,0,0,1,1
"DLPUE2048","DLPUE2048-200714","RIO NEXAPA 1",41836,2014,"CUMPLE","LÓTICO",930,2400,230,0.00175,0.0025,0.39,0.5,0.36,0.316,50,0.239,191,7.7,4.8,0.005,179,0.0006505,0.0097,0.00010065,0.0113,5e-04,73.3,15,16.3,5,0,0,1,0
"DLPUE1994","DLPUE1994-200316","RIO SAN LORENZO 1",42447,2016,"INCUMPLE","LÓTICO",11000,24000,750,1.267,0.0025,1.567,0.5,3.305,3.039,60,0.316,520,7.2,3.65,0.3,56.76,0.0006505,0.0063,0.00010065,0.0109,5e-04,122,2.1,10.2,3.6,0,1,1,1
"DLPUE1983","DLPUE1983-230613","SABORMEX, S.A. DE C.V. (ANTES CAFES DE VERACRUZ, S.A. DE C.V.) (AGUAS ABAJO)",41449,2013,"INCUMPLE","LÓTICO",2400,2400,2400,27.398,0.0025,62.678,1.28,9.389,13.991,668,0.984,2300,9.31,0.5,15.4011297134238,2960,0.0006505,0.155,0.00010065,0.0377,0.0017747442742939,370,24.8,30.2,55.2,1,0,1,1
